site,cluster_id,discard_azimuth,keep_azimuth,n_sequences,n_train,n_val,n_test,votes_keep,votes_discard,cluster_size,cluster_members,evidence_pairs
pyronear-force-06_cabanelle,c000,327,291,91,73,9,9,1,0,2,"291,327","291↔327(keep=291,inl=34)"
pyronear-sdis-07_brison,c001,110,127,99,79,10,10,1,0,2,"110,127","110↔127(keep=127,inl=268)"
pyronear-sdis-07_serre-de-barre,c002,300,108,27,21,3,3,1,0,2,"108,300","108↔300(keep=108,inl=146)"
pyronear-sdis-07_serre-de-barre,c003,55,250,11,9,1,1,1,0,2,"55,250","55↔250(keep=250,inl=44)"
pyronear-sdis-12_pouncho-agast,c004,0,337,8,6,1,1,2,1,5,"0,250,300,337,346","250↔300(keep=250,inl=1171) | 0↔337(keep=337,inl=399) | 250↔346(keep=346,inl=202) | 0↔250(keep=0,inl=92) | 337↔346(keep=337,inl=90) | 0↔346(keep=346,inl=77)"
pyronear-sdis-12_pouncho-agast,c004,250,337,6,5,1,0,2,1,5,"0,250,300,337,346","250↔300(keep=250,inl=1171) | 0↔337(keep=337,inl=399) | 250↔346(keep=346,inl=202) | 0↔250(keep=0,inl=92) | 337↔346(keep=337,inl=90) | 0↔346(keep=346,inl=77)"
pyronear-sdis-12_pouncho-agast,c004,300,337,6,5,1,0,2,0,5,"0,250,300,337,346","250↔300(keep=250,inl=1171) | 0↔337(keep=337,inl=399) | 250↔346(keep=346,inl=202) | 0↔250(keep=0,inl=92) | 337↔346(keep=337,inl=90) | 0↔346(keep=346,inl=77)"
pyronear-sdis-12_pouncho-agast,c004,346,337,31,25,3,3,2,2,5,"0,250,300,337,346","250↔300(keep=250,inl=1171) | 0↔337(keep=337,inl=399) | 250↔346(keep=346,inl=202) | 0↔250(keep=0,inl=92) | 337↔346(keep=337,inl=90) | 0↔346(keep=346,inl=77)"
pyronear-sdis-12_pouncho-agast,c005,112,136,18,14,2,2,2,1,3,"112,136,150","112↔150(keep=112,inl=295) | 136↔150(keep=136,inl=148) | 112↔136(keep=136,inl=106)"
pyronear-sdis-12_pouncho-agast,c005,150,136,2,2,0,0,2,0,3,"112,136,150","112↔150(keep=112,inl=295) | 136↔150(keep=136,inl=148) | 112↔136(keep=136,inl=106)"
pyronear-sdis-12_pouncho-agast,c006,218,254,21,17,2,2,1,0,2,"218,254","218↔254(keep=254,inl=265)"
pyronear-sdis-77_moret-sur-loing,c007,90,350,1,1,0,0,1,0,2,"90,350","90↔350(keep=350,inl=161)"
pyronear-sdis-77_nemours,c008,300,340,8,6,1,1,1,0,2,"300,340","300↔340(keep=340,inl=221)"
pyronear-sdis-77_nemours,c009,150,194,7,5,1,1,1,0,2,"150,194","150↔194(keep=194,inl=54)"
pyronear-sis-67_bischwiller,c010,250,160,2,2,0,0,1,0,2,"160,250","160↔250(keep=160,inl=162)"
pyronear-sis-67_bischwiller,c011,150,12,1,1,0,0,1,0,2,"12,150","12↔150(keep=12,inl=156)"
pyronear-sis-67_bischwiller,c012,50,277,4,3,1,0,1,0,2,"50,277","50↔277(keep=277,inl=134)"
pyronear-sis-67_bischwiller,c013,200,113,6,5,1,0,1,0,2,"113,200","113↔200(keep=113,inl=57)"
pyronear-sis-67_bischwiller,c014,300,207,2,2,0,0,1,0,2,"207,300","207↔300(keep=207,inl=66)"
pyronear-sis-67_bischwiller,c015,350,254,5,4,1,0,1,0,2,"254,350","254↔350(keep=254,inl=110)"
pyronear-sis-67_haguenau,c016,200,125,7,5,1,1,1,0,2,"125,200","125↔200(keep=125,inl=71)"
pyronear-sis-67_haguenau,c017,150,79,2,2,0,0,1,0,2,"79,150","79↔150(keep=79,inl=69)"
pyronear-sis-67_haguenau,c018,350,267,10,8,1,1,1,0,2,"267,350","267↔350(keep=267,inl=183)"
